iter	Passed	Remaining
0	147	147592
1	148	73974
2	148	49423
3	149	37153
4	149	29791
5	150	24882
6	150	21369
7	151	18733
8	151	16682
9	151	15040
10	152	13697
11	152	12576
12	153	11629
13	153	10819
14	154	10122
15	154	9506
16	155	8964
17	155	8480
18	155	8051
19	156	7667
20	157	7319
21	157	6998
22	157	6707
23	158	6442
24	158	6197
25	159	5972
26	159	5763
27	160	5568
28	160	5385
29	161	5216
30	161	5056
31	162	4906
32	162	4765
33	163	4633
34	163	4510
35	164	4394
36	164	4283
37	165	4178
38	165	4079
39	166	3984
40	166	3893
41	166	3807
42	167	3725
43	167	3646
44	168	3570
45	168	3497
46	169	3428
47	169	3362
48	169	3298
49	170	3238
50	170	3181
51	171	3124
52	171	3070
53	172	3017
54	172	2966
55	173	2917
56	173	2870
57	173	2824
58	174	2780
59	174	2737
60	175	2696
61	175	2656
62	175	2617
63	176	2579
64	176	2543
65	177	2508
66	177	2473
67	177	2437
68	178	2405
69	178	2373
70	179	2342
71	179	2313
72	179	2284
73	180	2255
74	180	2228
75	181	2201
76	181	2175
77	181	2150
78	182	2125
79	182	2101
80	183	2078
81	183	2055
82	184	2032
83	184	2010
84	184	1988
85	185	1970
86	185	1950
87	186	1931
88	187	1915
89	187	1898
90	188	1880
91	188	1864
92	189	1849
93	190	1833
94	190	1818
95	191	1803
96	192	1788
97	192	1774
98	193	1760
99	194	1746
100	194	1732
101	194	1716
102	195	1702
103	196	1689
104	196	1676
105	197	1663
106	197	1650
107	198	1637
108	198	1624
109	199	1612
110	199	1600
111	200	1588
112	200	1577
113	201	1565
114	201	1554
115	202	1542
116	202	1531
117	203	1522
118	204	1511
119	204	1500
120	205	1490
121	205	1480
122	205	1468
123	206	1458
124	206	1448
125	207	1439
126	208	1429
127	208	1419
128	208	1411
129	209	1402
130	210	1393
131	210	1383
132	210	1374
133	211	1365
134	211	1356
135	212	1347
136	212	1339
137	212	1330
138	213	1321
139	213	1313
140	214	1305
141	214	1296
142	215	1288
143	215	1281
144	216	1274
145	216	1267
146	217	1260
147	217	1253
148	218	1246
149	218	1239
150	219	1232
151	219	1225
152	220	1219
153	220	1212
154	221	1206
155	221	1199
156	222	1193
157	222	1187
158	223	1180
159	223	1174
160	224	1168
161	224	1161
162	225	1155
163	225	1149
164	225	1143
165	226	1137
166	226	1131
167	227	1125
168	227	1119
169	228	1114
170	228	1108
171	229	1102
172	229	1097
173	230	1091
174	230	1086
175	231	1081
176	231	1077
177	232	1072
178	232	1067
179	233	1062
180	233	1055
181	233	1050
182	234	1045
183	234	1040
184	235	1036
185	235	1031
186	236	1026
187	236	1022
188	237	1017
189	237	1012
190	238	1008
191	238	1003
192	238	999
193	239	994
194	239	989
195	240	985
196	240	980
197	241	976
198	241	971
199	241	967
200	242	962
201	242	958
202	243	954
203	243	949
204	243	945
205	244	941
206	244	937
207	245	933
208	245	929
209	246	925
210	246	921
211	246	918
212	247	914
213	247	910
214	248	906
215	248	902
216	249	898
217	249	894
218	249	891
219	250	887
220	250	883
221	251	879
222	251	876
223	251	872
224	252	868
225	252	865
226	253	861
227	253	858
228	253	854
229	254	851
230	254	848
231	255	844
232	255	841
233	256	838
234	256	834
235	256	831
236	257	828
237	257	824
238	258	821
239	258	818
240	258	815
241	259	812
242	259	808
243	260	805
244	260	802
245	261	800
246	261	797
247	261	794
248	262	791
249	262	788
250	263	785
251	263	782
252	263	779
253	264	776
254	264	773
255	265	770
256	265	767
257	266	765
258	266	762
259	266	759
260	267	756
261	267	754
262	268	751
263	268	748
264	268	745
265	269	743
266	269	740
267	270	737
268	270	735
269	270	732
270	271	729
271	271	727
272	272	724
273	272	722
274	272	719
275	273	717
276	273	714
277	274	712
278	274	709
279	275	707
280	275	704
281	275	702
282	276	700
283	276	698
284	277	695
285	277	693
286	278	691
287	278	688
288	278	686
289	279	684
290	279	681
291	280	679
292	280	677
293	281	674
294	281	672
295	281	670
296	282	668
297	282	665
298	283	663
299	283	661
300	283	659
301	284	657
302	284	654
303	285	652
304	285	650
305	285	648
306	286	646
307	286	644
308	287	642
309	287	640
310	288	638
311	288	636
312	288	634
313	289	631
314	289	629
315	290	627
316	290	625
317	290	624
318	291	622
319	291	620
320	292	618
321	292	616
322	293	614
323	293	612
324	293	610
325	294	608
326	294	606
327	295	604
328	295	602
329	295	600
330	296	598
331	296	597
332	297	595
333	297	593
334	298	591
335	298	589
336	298	588
337	299	586
338	299	584
339	300	582
340	300	581
341	301	579
342	301	577
343	301	575
344	302	574
345	302	572
346	303	570
347	303	568
348	304	567
349	304	565
350	304	563
351	305	561
352	305	560
353	306	558
354	306	557
355	307	555
356	307	553
357	307	552
358	308	550
359	308	548
360	309	547
361	309	545
362	309	543
363	310	542
364	310	540
365	311	538
366	311	537
367	311	535
368	312	534
369	312	532
370	313	531
371	313	529
372	314	527
373	314	526
374	314	524
375	315	523
376	315	521
377	316	520
378	316	518
379	316	517
380	317	515
381	317	514
382	318	512
383	318	511
384	318	509
385	319	508
386	319	506
387	320	505
388	320	503
389	321	502
390	321	500
391	322	499
392	322	498
393	322	496
394	323	495
395	323	493
396	324	492
397	324	490
398	325	489
399	325	488
400	325	486
401	326	485
402	326	483
403	327	482
404	327	481
405	327	479
406	328	478
407	328	476
408	329	475
409	329	474
410	330	472
411	330	471
412	330	470
413	331	468
414	331	467
415	332	466
416	332	464
417	332	463
418	333	462
419	333	460
420	334	459
421	334	458
422	334	456
423	335	455
424	335	454
425	336	453
426	336	452
427	337	450
428	337	449
429	338	448
430	338	446
431	338	445
432	339	444
433	339	443
434	340	441
435	340	440
436	340	439
437	341	438
438	341	436
439	342	435
440	342	434
441	343	433
442	343	431
443	343	430
444	344	429
445	344	428
446	345	426
447	345	425
448	345	424
449	346	423
450	346	422
451	347	420
452	347	419
453	347	418
454	348	417
455	348	416
456	349	414
457	349	413
458	350	412
459	350	411
460	350	410
461	351	409
462	351	408
463	352	407
464	352	405
465	353	404
466	353	403
467	354	402
468	354	401
469	354	400
470	355	399
471	355	398
472	356	396
473	356	395
474	357	394
475	357	393
476	358	392
477	358	391
478	358	390
479	359	389
480	359	388
481	360	386
482	360	385
483	360	384
484	361	383
485	361	382
486	362	381
487	362	380
488	362	379
489	363	378
490	363	377
491	364	376
492	364	374
493	364	373
494	365	372
495	365	371
496	366	370
497	366	369
498	367	368
499	367	367
500	368	366
501	368	365
502	368	364
503	369	363
504	369	362
505	370	361
506	370	360
507	370	359
508	371	358
509	371	357
510	372	356
511	372	355
512	372	354
513	373	353
514	373	351
515	374	350
516	374	349
517	374	348
518	375	347
519	375	346
520	376	345
521	376	344
522	376	343
523	377	342
524	377	341
525	378	340
526	378	339
527	379	338
528	379	337
529	379	336
530	380	335
531	380	334
532	381	333
533	381	333
534	382	332
535	382	331
536	382	330
537	383	329
538	383	328
539	384	327
540	384	326
541	385	325
542	385	324
543	386	323
544	386	322
545	387	321
546	387	320
547	387	319
548	388	319
549	388	318
550	389	317
551	389	316
552	390	315
553	390	314
554	391	313
555	391	312
556	391	311
557	392	310
558	392	309
559	393	308
560	393	307
561	393	307
562	394	306
563	394	305
564	395	304
565	395	303
566	396	302
567	396	301
568	397	300
569	397	299
570	398	299
571	398	298
572	399	297
573	399	296
574	399	295
575	400	294
576	400	293
577	401	292
578	401	292
579	402	291
580	402	290
581	403	289
582	403	288
583	403	287
584	404	286
585	404	285
586	405	285
587	405	284
588	406	283
589	406	282
590	406	281
591	407	280
592	407	279
593	408	278
594	408	278
595	408	277
596	409	276
597	409	275
598	410	274
599	410	273
600	410	272
601	411	271
602	411	271
603	412	270
604	412	269
605	413	268
606	414	268
607	414	267
608	414	266
609	415	265
610	415	264
611	416	263
612	416	263
613	417	262
614	417	261
615	417	260
616	418	259
617	418	258
618	419	257
619	419	257
620	420	256
621	420	255
622	420	254
623	421	253
624	421	252
625	422	252
626	422	251
627	422	250
628	423	249
629	423	248
630	424	247
631	424	247
632	424	246
633	425	245
634	425	244
635	426	243
636	426	243
637	427	242
638	427	241
639	427	240
640	428	239
641	428	239
642	429	238
643	429	237
644	429	236
645	430	235
646	430	235
647	431	234
648	431	233
649	432	232
650	432	231
651	432	231
652	433	230
653	433	229
654	434	228
655	434	227
656	435	227
657	435	226
658	435	225
659	436	224
660	436	224
661	437	223
662	437	222
663	438	221
664	438	220
665	439	220
666	439	219
667	439	218
668	440	217
669	440	217
670	441	216
671	442	215
672	442	215
673	442	214
674	443	213
675	443	212
676	444	211
677	444	211
678	445	210
679	445	209
680	446	208
681	446	208
682	446	207
683	447	206
684	447	205
685	448	205
686	448	204
687	448	203
688	449	202
689	449	202
690	450	201
691	450	200
692	451	199
693	451	199
694	451	198
695	452	197
696	452	196
697	453	196
698	453	195
699	453	194
700	454	193
701	454	193
702	455	192
703	455	191
704	455	190
705	456	189
706	456	189
707	457	188
708	457	187
709	458	187
710	458	186
711	458	185
712	459	184
713	459	184
714	460	183
715	460	182
716	460	181
717	461	181
718	461	180
719	462	179
720	462	178
721	462	178
722	463	177
723	463	176
724	464	176
725	464	175
726	465	174
727	465	173
728	465	173
729	466	172
730	466	171
731	467	171
732	467	170
733	468	169
734	468	168
735	468	168
736	469	167
737	469	166
738	470	166
739	470	165
740	470	164
741	471	163
742	471	163
743	472	162
744	472	161
745	473	161
746	473	160
747	473	159
748	474	158
749	474	158
750	475	157
751	475	156
752	475	156
753	476	155
754	476	154
755	477	153
756	477	153
757	477	152
758	478	151
759	478	151
760	479	150
761	479	149
762	479	149
763	480	148
764	480	147
765	481	147
766	481	146
767	482	145
768	482	144
769	482	144
770	483	143
771	483	142
772	484	142
773	484	141
774	484	140
775	485	140
776	485	139
777	486	138
778	486	138
779	487	137
780	487	136
781	487	135
782	488	135
783	488	134
784	489	133
785	489	133
786	489	132
787	490	131
788	490	131
789	491	130
790	491	129
791	491	129
792	492	128
793	492	127
794	493	127
795	493	126
796	493	125
797	494	125
798	494	124
799	495	123
