iter	Passed	Remaining
0	143	143026
1	143	71676
2	144	47891
3	144	35992
4	144	28852
5	145	24101
6	146	20714
7	146	18170
8	147	16188
9	147	14601
10	147	13299
11	148	12216
12	148	11297
13	149	10510
14	149	9828
15	150	9235
16	150	8713
17	151	8257
18	152	7849
19	152	7482
20	153	7140
21	153	6828
22	154	6543
23	154	6283
24	154	6044
25	155	5823
26	155	5619
27	156	5428
28	156	5250
29	157	5083
30	157	4929
31	158	4784
32	158	4647
33	159	4519
34	159	4397
35	159	4284
36	160	4175
37	160	4072
38	161	3975
39	161	3883
40	162	3794
41	162	3710
42	163	3634
43	163	3560
44	164	3490
45	164	3420
46	165	3354
47	165	3289
48	166	3228
49	166	3169
50	167	3111
51	167	3056
52	168	3003
53	168	2952
54	169	2903
55	169	2856
56	169	2810
57	170	2765
58	170	2723
59	171	2681
60	171	2641
61	172	2603
62	172	2566
63	173	2530
64	173	2495
65	174	2463
66	174	2431
67	175	2398
68	175	2368
69	176	2338
70	176	2309
71	176	2280
72	177	2253
73	177	2227
74	178	2201
75	178	2175
76	179	2150
77	179	2126
78	180	2103
79	180	2079
80	181	2057
81	181	2034
82	181	2010
83	182	1990
84	183	1970
85	183	1952
86	184	1933
87	184	1915
88	185	1897
89	185	1878
90	186	1860
91	186	1842
92	187	1826
93	187	1809
94	188	1792
95	188	1776
96	189	1760
97	189	1744
98	190	1729
99	190	1714
100	190	1699
101	191	1685
102	191	1671
103	192	1657
104	192	1644
105	193	1633
106	194	1620
107	194	1608
108	195	1595
109	195	1583
110	196	1571
111	196	1559
112	197	1547
113	197	1536
114	198	1524
115	198	1514
116	199	1503
117	199	1492
118	200	1482
119	200	1471
120	201	1461
121	201	1450
122	202	1441
123	202	1431
124	203	1422
125	203	1413
126	204	1403
127	204	1393
128	205	1385
129	205	1375
130	206	1367
131	206	1358
132	207	1349
133	207	1341
134	208	1333
135	208	1325
136	209	1318
137	209	1310
138	210	1303
139	211	1296
140	211	1288
141	211	1279
142	212	1272
143	212	1264
144	213	1257
145	213	1249
146	214	1242
147	214	1235
148	215	1228
149	215	1221
150	216	1214
151	216	1208
152	216	1201
153	217	1194
154	217	1188
155	218	1182
156	218	1175
157	219	1168
158	219	1162
159	220	1156
160	220	1149
161	221	1143
162	221	1137
163	222	1132
164	222	1126
165	223	1121
166	223	1116
167	224	1111
168	225	1106
169	225	1102
170	226	1097
171	226	1091
172	227	1086
173	227	1081
174	228	1076
175	228	1070
176	229	1065
177	229	1060
178	230	1055
179	230	1050
180	231	1045
181	231	1040
182	231	1035
183	232	1031
184	233	1026
185	233	1021
186	233	1016
187	234	1012
188	234	1007
189	235	1003
190	235	998
191	236	994
192	236	989
193	237	985
194	237	981
195	238	977
196	238	973
197	239	970
198	240	966
199	240	963
200	241	958
201	241	954
202	242	950
203	242	946
204	243	942
205	243	938
206	243	934
207	244	931
208	245	927
209	245	923
210	246	919
211	246	916
212	246	912
213	247	908
214	247	905
215	248	901
216	248	898
217	249	894
218	249	891
219	250	887
220	250	884
221	251	880
222	251	877
223	252	873
224	252	870
225	253	867
226	253	864
227	254	861
228	254	858
229	255	854
230	255	851
231	256	848
232	257	846
233	257	842
234	257	839
235	258	836
236	258	833
237	259	830
238	259	826
239	260	824
240	260	821
241	261	818
242	261	814
243	262	811
244	262	809
245	262	806
246	263	802
247	263	799
248	264	797
249	264	794
250	265	791
251	265	788
252	266	785
253	266	782
254	266	779
255	267	777
256	267	774
257	268	772
258	269	769
259	269	768
260	270	765
261	270	762
262	271	760
263	271	757
264	272	754
265	272	752
266	273	749
267	273	747
268	273	744
269	274	741
270	274	739
271	275	736
272	275	734
273	276	731
274	276	729
275	277	726
276	277	724
277	277	721
278	278	719
279	278	717
280	279	714
281	279	712
282	280	709
283	280	707
284	281	705
285	281	702
286	282	700
287	282	698
288	283	696
289	283	694
290	284	693
291	285	692
292	286	690
293	286	688
294	287	686
295	287	684
296	288	682
297	288	680
298	289	678
299	289	676
300	290	674
301	290	671
302	291	669
303	291	667
304	292	665
305	292	663
306	293	661
307	293	659
308	294	657
309	294	655
310	294	653
311	295	651
312	295	649
313	296	647
314	296	645
315	297	643
316	297	641
317	298	639
318	298	638
319	299	636
320	300	634
321	300	632
322	301	630
323	301	629
324	302	627
325	302	625
326	303	623
327	303	621
328	304	620
329	304	618
330	305	616
331	305	614
332	306	612
333	306	611
334	307	609
335	307	607
336	307	605
337	308	604
338	308	602
339	309	600
340	309	599
341	310	597
342	310	595
343	311	594
344	312	592
345	312	590
346	313	589
347	313	587
348	314	586
349	314	584
350	315	583
351	316	582
352	316	580
353	317	578
354	317	577
355	318	575
356	318	574
357	319	572
358	319	570
359	320	569
360	320	567
361	321	566
362	321	564
363	322	562
364	322	561
365	323	559
366	323	558
367	324	557
368	325	555
369	325	554
370	325	552
371	326	551
372	327	549
373	327	548
374	328	546
375	328	545
